Nr_Pairs = 49
Nr_NDD = 1
Nr_Arcs = 535
0	0.32
1	0.5
2	0.90
3	0.90
4	0.90
5	0.5
6	0.5
7	0.5
8	0.10
9	0.10
10	0.5
11	0.5
12	0.5
13	0.28
14	0.10
15	0.5
16	0.10
17	0.92
18	0.10
19	0.28
20	0.90
21	0.5
22	0.10
23	0.5
24	0.90
25	0.5
26	0.5
27	0.10
28	0.5
29	0.5
30	0.5
31	0.90
32	0.5
33	0.90
34	0.90
35	0.28
36	0.5
37	0.5
38	0.90
39	0.90
40	0.92
41	0.10
42	0.90
43	0.92
44	0.28
45	0.10
46	0.90
47	0.5
48	0.90
49	0.0
(0,1), 0, 1
(0,5), 0, 1
(0,6), 0, 1
(0,7), 0, 1
(0,8), 0, 1
(0,9), 0, 1
(0,10), 0, 1
(0,11), 0, 1
(0,12), 0, 1
(0,13), 0, 1
(0,14), 0, 1
(0,15), 0, 1
(0,16), 0, 1
(0,18), 0, 1
(0,19), 0, 1
(0,21), 0, 1
(0,22), 0, 1
(0,23), 0, 1
(0,25), 0, 1
(0,26), 0, 1
(0,27), 0, 1
(0,28), 0, 1
(0,29), 0, 1
(0,30), 0, 1
(0,32), 0, 1
(0,35), 0, 1
(0,36), 0, 1
(0,37), 0, 1
(0,41), 0, 1
(0,44), 0, 1
(0,45), 0, 1
(0,47), 0, 1
(1,15), 0, 1
(1,22), 0, 1
(1,25), 0, 1
(1,27), 0, 1
(2,5), 0, 1
(2,11), 0, 1
(2,37), 0, 1
(2,44), 0, 1
(2,47), 0, 1
(3,0), 0, 1
(3,15), 0, 1
(3,20), 0, 1
(3,25), 0, 1
(3,27), 0, 1
(4,0), 0, 1
(4,15), 0, 1
(4,25), 0, 1
(4,27), 0, 1
(5,0), 0, 1
(5,15), 0, 1
(5,22), 0, 1
(5,24), 0, 1
(5,25), 0, 1
(5,27), 0, 1
(6,5), 0, 1
(6,11), 0, 1
(6,17), 0, 1
(6,37), 0, 1
(6,41), 0, 1
(6,44), 0, 1
(6,47), 0, 1
(7,15), 0, 1
(7,22), 0, 1
(7,25), 0, 1
(7,27), 0, 1
(8,0), 0, 1
(8,2), 0, 1
(8,15), 0, 1
(8,22), 0, 1
(8,24), 0, 1
(8,25), 0, 1
(8,27), 0, 1
(9,15), 0, 1
(9,22), 0, 1
(9,25), 0, 1
(9,27), 0, 1
(10,0), 0, 1
(10,2), 0, 1
(10,15), 0, 1
(10,22), 0, 1
(10,25), 0, 1
(10,27), 0, 1
(11,0), 0, 1
(11,1), 0, 1
(11,3), 0, 1
(11,5), 0, 1
(11,6), 0, 1
(11,7), 0, 1
(11,8), 0, 1
(11,9), 0, 1
(11,10), 0, 1
(11,12), 0, 1
(11,14), 0, 1
(11,15), 0, 1
(11,16), 0, 1
(11,18), 0, 1
(11,21), 0, 1
(11,23), 0, 1
(11,25), 0, 1
(11,26), 0, 1
(11,27), 0, 1
(11,28), 0, 1
(11,29), 0, 1
(11,30), 0, 1
(11,32), 0, 1
(11,35), 0, 1
(11,36), 0, 1
(11,37), 0, 1
(11,39), 0, 1
(11,41), 0, 1
(11,44), 0, 1
